17759,city,Des Moines; IA; Des Moines-West Des Moines; Polk County
14701,city,Woodbridge; VA; Washington-Arlington-Alexandria; Prince William County
6792,city,Roanoke; VA; Roanoke City
11049,city,Davie; FL; Miami-Fort Lauderdale-West Palm Beach; Broward County
53311,city,Midlothian; VA; Richmond; Chesterfield County
32777,city,McDonough; GA; Atlanta-Sandy Springs-Roswell; Henry County
38968,city,Herndon; VA; Washington-Arlington-Alexandria; Fairfax County
38047,city,Covington; GA; Atlanta-Sandy Springs-Roswell; Newton County
24307,city,Dallas; GA; Atlanta-Sandy Springs-Roswell; Paulding County
10608,city,Buena Park; CA; Los Angeles-Long Beach-Anaheim; Orange County
25066,city,Hattiesburg; MS; Forrest County
397629,city,Town of Colonie; NY; Albany-Schenectady-Troy; Albany County
13213,city,Pasco; WA; Kennewick-Richland; Franklin County
4329,city,Deerfield Beach; FL; Miami-Fort Lauderdale-West Palm Beach; Broward County
18025,city,Evanston; IL; Chicago-Naperville-Elgin; Cook County
17974,city,Elyria; OH; Cleveland-Elyria; Lorain County
13127,city,Oroville; CA; Chico; Butte County
32105,city,Hudsonville; MI; Grand Rapids-Wyoming; Ottawa County
42335,city,Ladson; SC; Charleston-North Charleston; Berkeley County
53676,city,Ocean Springs; MS; Gulfport-Biloxi-Pascagoula; Jackson County
53733,city,Orange; NJ; New York-Newark-Jersey City; Essex County
24372,city,Des Moines; WA; Seattle-Tacoma-Bellevue; King County
25458,city,Laguna Hills; CA; Los Angeles-Long Beach-Anaheim; Orange County
49477,city,Madison Heights; MI; Detroit-Warren-Dearborn; Oakland County
33039,city,Needham; MA; Boston-Cambridge-Newton; Norfolk County
37918,city,Cleveland; TX; Houston-The Woodlands-Sugar Land; Liberty County
32157,city,Inverness; FL; Homosassa Springs; Citrus County
48449,city,Westchester; FL; Miami-Fort Lauderdale-West Palm Beach; Miami-Dade County
7765,city,Warrenton; VA; Washington-Arlington-Alexandria; Fauquier County
17818,city,Drexel Hill; PA; Philadelphia-Camden-Wilmington; Delaware County
34749,city,West Linn; OR; Portland-Vancouver-Hillsboro; Clackamas County
36121,city,Midlothian; TX; Dallas-Fort Worth-Arlington; Ellis County
397018,city,Grand Haven; MI; Grand Rapids-Wyoming; Ottawa County
10920,city,Columbus; OH; Franklin County
12455,city,Louisville; KY; Louisville/Jefferson County; Jefferson County
56428,city,Livingston; NJ; New York-Newark-Jersey City; Essex County
48463,city,Wetumpka; AL; Montgomery; Elmore County
18096,city,Fernandina Beach; FL; Jacksonville; Nassau County
25455,city,Lafayette; CA; San Francisco-Oakland-Hayward; Contra Costa County
14657,city,Willis; TX; Houston-The Woodlands-Sugar Land; Montgomery County
18879,city,La Place; LA; New Orleans-Metairie; Saint John the Baptist Parish
398157,city,Town of Orchard Park; NY; Buffalo-Cheektowaga-Niagara Falls; Erie County
32014,city,Hermiston; OR; Hermiston-Pendleton; Umatilla County
46432,city,Mason City; IA; Cerro Gordo County
44707,city,Commack; NY; New York-Newark-Jersey City; Suffolk County
19837,city,Paragould; AR; Greene County
21122,city,Voorhees Township; NJ; Philadelphia-Camden-Wilmington; Camden County
24960,city,Greenville; SC; Greenville-Anderson-Mauldin; Greenville County
6256,city,Norwood; MA; Boston-Cambridge-Newton; Norfolk County
28517,city,Lansing; IL; Chicago-Naperville-Elgin; Cook County
34545,city,Vernon Rockville; CT; Hartford-West Hartford-East Hartford; Tolland County
9655,city,Jonesborough; TN; Johnson City; Washington County
50944,city,Beeville; TX; Bee County
22918,city,Salem; NH; Boston-Cambridge-Newton; Rockingham County
13030,city,North Platte; NE; Lincoln County
54190,city,Rockford; MI; Grand Rapids-Wyoming; Kent County
40109,city,Oak Ridge; TN; Knoxville; Anderson County
25855,city,Merced; CA; Merced County
41341,city,Uniondale; NY; New York-Newark-Jersey City; Nassau County
23610,city,Batesville; AR; Independence County
11041,city,Danville; KY; Boyle County
37931,city,Clinton; UT; Ogden-Clearfield; Davis County
3719,city,Blythe; CA; Riverside-San Bernardino-Ontario; Riverside County
38482,city,Fallon; NV; Churchill County
53787,city,Palm Bay; FL; Palm Bay-Melbourne-Titusville; Brevard County
48573,city,Woodstock; GA; Atlanta-Sandy Springs-Roswell; Cherokee County
10700,city,Canton; MI; Detroit-Warren-Dearborn; Wayne County
47080,city,Pflugerville; TX; Austin-Round Rock; Travis County
5291,city,Iowa City; IA; Johnson County
44597,city,Cicero; IL; Chicago-Naperville-Elgin; Cook County
38004,city,Conway; AR; Little Rock-North Little Rock-Conway; Faulkner County
53812,city,Parma; OH; Cleveland-Elyria; Cuyahoga County
45401,city,Gary; IN; Chicago-Naperville-Elgin; Lake County
10723,city,Carson; CA; Los Angeles-Long Beach-Anaheim; Los Angeles County
50786,city,Athens; TN; McMinn County
34308,city,Tomball; TX; Houston-The Woodlands-Sugar Land; Harris County
26679,city,Rancho Cordova; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County
40868,city,Shelby; MI; Detroit-Warren-Dearborn; Macomb County
17931,city,El Dorado Hills; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County
55282,city,Yelm; WA; Olympia-Tumwater; Thurston County
20323,city,Salisbury; NC; Charlotte-Concord-Gastonia; Rowan County
39655,city,Marysville; WA; Seattle-Tacoma-Bellevue; Snohomish County
40524,city,Redlands; CA; Riverside-San Bernardino-Ontario; San Bernardino County
12012,city,Huntington; WV; Huntington-Ashland; Cabell County
398360,city,Town of Poughkeepsie; NY; New York-Newark-Jersey City; Dutchess County
34248,city,Temple; TX; Killeen-Temple; Bell County
11462,city,Folsom; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County
26561,city,Plymouth; MN; Minneapolis-St. Paul-Bloomington; Hennepin County
7223,city,Springfield; OR; Eugene; Lane County
25372,city,Kendall; FL; Miami-Fort Lauderdale-West Palm Beach; Miami-Dade County
47082,city,Pharr; TX; McAllen-Edinburg-Mission; Hidalgo County
16733,city,Alpharetta; GA; Atlanta-Sandy Springs-Roswell; Fulton County
50783,city,Atascocita; TX; Houston-The Woodlands-Sugar Land; Harris County
46089,city,La Mesa; CA; San Diego-Carlsbad; San Diego County
32380,city,Lake Forest; CA; Los Angeles-Long Beach-Anaheim; Orange County
26114,city,New Rochelle; NY; New York-Newark-Jersey City; Westchester County
22730,city,Waipahu; HI; Urban Honolulu; Honolulu County
34884,city,Winter Park; FL; Orlando-Kissimmee-Sanford; Orange County
37406,city,Bethesda; MD; Washington-Arlington-Alexandria; Montgomery County
54179,city,Rochester Hills; MI; Detroit-Warren-Dearborn; Oakland County
7217,city,Springdale; AR; Fayetteville-Springdale-Rogers; Washington County
