394913,metro,"New York, NY"
753899,metro,"Los Angeles-Long Beach-Anaheim, CA"
394463,metro,"Chicago, IL"
394514,metro,"Dallas-Fort Worth, TX"
394692,metro,"Houston, TX"
394856,metro,"Miami-Fort Lauderdale, FL"
395057,metro,"San Francisco, CA"
394532,metro,"Detroit, MI"
395121,metro,"St. Louis, MO"
395148,metro,"Tampa, FL"
394358,metro,"Baltimore, MD"
394530,metro,"Denver, CO"
395055,metro,"San Antonio, TX"
394943,metro,"Orlando, FL"
394466,metro,"Cincinnati, OH"
394475,metro,"Cleveland, OH"
394775,metro,"Las Vegas, NV"
395096,metro,"Shreveport, LA; LA"
395070,metro,"Savannah, GA; GA"
394347,metro,"Atlanta, GA"
394492,metro,"Columbus, OH"
394705,metro,"Indianapolis, IN"
395059,metro,"San Jose, CA"
394355,metro,"Austin, TX"
395194,metro,"Virginia Beach, VA"
394902,metro,"Nashville, TN"
395005,metro,"Providence, RI"
394714,metro,"Jacksonville, FL"
394332,metro,"Ann Arbor, MI; MI"
394807,metro,"Louisville-Jefferson County, KY"
394711,metro,"Jackson, MS"
395103,metro,"Sioux Falls, SD; SD"
394455,metro,"Charleston, WV; WV"
394334,metro,"Appleton, WI; WI"
394299,metro,"Abilene, TX; TX"
395182,metro,"Valdosta, GA; GA"
395013,metro,"Rapid City, SD; SD"
394783,metro,"Lebanon, PA; PA"
394703,metro,"Idaho Falls, ID; ID"
394983,metro,"Pittsfield, MA; MA"
394780,metro,"Lawton, OK; OK"
394588,metro,"Farmington, NM; NM"
394712,metro,"Jackson, TN; TN"
394469,metro,"Clarksburg, WV; WV"
395190,metro,"Victoria, TX; TX"
395145,metro,"Talladega, AL; AL"
394542,metro,"Dubuque, IA; IA"
395153,metro,"The Villages, FL; FL"
753887,metro,"Hermiston-Pendleton, OR; OR"
395116,metro,"Springfield, MO; MO"
394809,metro,"Lufkin, TX; TX"
394650,metro,"Greenville, MS; MS"
394669,metro,"Hartford, CT"
395244,metro,"York, PA; PA"
394502,metro,"Corpus Christi, TX; TX"
394927,metro,"Ocala, FL; FL"
394732,metro,"Kalamazoo, MI; MI"
395107,metro,"South Bend, IN; IN"
395197,metro,"Waco, TX; TX"
394459,metro,"Charlottesville, VA; VA"
395114,metro,"Springfield, IL; IL"
395174,metro,"Tyler, TX; TX"
394773,metro,"Las Cruces, NM; NM"
394585,metro,"Fargo, ND; ND"
394597,metro,"Florence, SC; SC"
394848,metro,"Medford, OR; OR"
394378,metro,"Bellingham, WA; WA"
394763,metro,"Lake Charles, LA; LA"
394681,metro,"Hilton Head Island, SC; SC"
753869,metro,"Bloomington, IL; IL"
394519,metro,"Daphne, AL; AL"
